Taxonomy	F1_06	F1_12	F1_18	M2_18	M3_06	M3_12	M1_06	M1_12	M1_18	F3_06	F3_12	F3_18	M4_06	M4_12	F5_06	F5_12	F5_18	M6_06	M6_12	M4_18	F4_06	F4_12	M6_14	M2_12	M5_06	M5_12	M5_18	M3_18	F2_06	F2_12
d__;p__;c__;o__;f__;g__;s__	63	220	6067	511	5826	278	1143	266	839	22889	129	1531	0	25	312	7351	41	1238	139	0	0	5182	39	13280	139	938	5149	28	187	9435
d__Fungi;p__;c__;o__;f__;g__;s__	28	4300	9046	5765	4623	31196	765	1190	29430	2556	640	205	21168	21191	10490	5160	15502	1609	166	0	10161	1729	286	6399	0	17296	581	624	700	6077
d__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	0	275	0	0	1766	169	0	0	0	0	0	0	0	0	475	0	10	0	0	0	0	4229	9817	55129	0	0	33	34	0
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	1460	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	52	0
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__	4	0	1591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__;s__	0	0	404	0	0	1218	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	19	1	0
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__	0	0	0	0	0	754	0	0	1204	0	0	1150	55	398	0	0	0	51	0	0	0	0	0	0	0	0	0	17	7	0
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__;f__;g__;s__	0	0	0	0	0	110	0	0	5	0	791	0	0	0	0	0	0	44	0	0	0	0	1760	22	171	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__;s__	0	0	0	0	0	0	0	0	1007	0	0	0	22	59904	0	0	0	0	0	4	0	285	0	1284	0	0	223	0	0	0
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__	0	0	0	0	547	0	0	0	88	0	0	0	46	0	0	0	0	0	0	0	0	0	0	1498	0	0	0	0	0	101
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__	67	0	1368	0	0	11	0	3	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__;s__	0	0	0	0	0	292	0	0	0	808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__	0	0	0	0	367	2030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Golovinomyces;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__;f__;g__;s__	0	0	104	0	0	124	0	0	0	218	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__;g__;s__	0	2206	2047	0	0	32	0	3	1360	1	0	0	163	556	699	0	0	0	0	0	0	0	0	0	23399	0	0	0	5	5487
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Debaryomyces;s__	1676	42273	3895	0	0	0	746	0	987	0	0	3544	0	5419	0	405	0	18456	0	0	0	0	0	0	0	0	0	0	0	1140
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__;s__	0	0	0	0	151	1175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Cyberlindnera;s__	94	0	0	0	0	0	18819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Wickerhamomyces;s__	0	0	0	0	0	0	0	0	0	8390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__;s__	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Eremothecium;s__	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Issatchenkia;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kazachstania;s__	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__	160	0	748	162	25058	0	0	8380	1526	0	0	259	10181	103	0	516	0	7225	8553	0	0	0	0	0	0	0	0	0	6801	0
d__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__	26614	0	47077	0	0	0	6942	3165	1128	0	88322	22810	51529	5500	11301	15811	9373	1272	0	443	22522	22470	0	0	0	11453	2941	29592	578	26234
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__;f__;g__;s__	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__;g__;s__	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__	0	0	0	0	0	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__;s__	0	0	0	1872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
d__Fungi;p__Basidiomycota;c__;o__;f__;g__;s__	0	0	252	0	1055	0	0	73	0	0	0	0	0	0	0	0	0	0	0	2025	83	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__;f__;g__;s__	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;g__;s__	0	0	598	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Hypholoma;s__	0	0	3080	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Pholiota;s__	0	0	2390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Baeospora;s__	0	0	2	34698	692	0	0	2283	9550	0	10439	0	21753	35738	18137	32521	51815	15972	0	0	29611	0	4774	0	0	74332	2133	0	0	39008
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17625	0	0	0
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Paxillaceae;g__Paxillus;s__	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Vuilleminiaceae;g__Vuilleminia;s__	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes;s__	0	0	1	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__;f__;g__;s__	0	0	2	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0
d__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__;s__	0	0	0	0	0	628	7	0	0	0	0	0	0	0	23	2	10	0	0	0	0	0	0	23	0	18	54	9	0	0
d__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__	4	0	0	0	0	0	4838	0	0	0	0	4	0	0	0	633	0	5	0	0	0	0	0	4	0	441	96	0	0	0
d__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__	0	0	216	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__;f__;g__;s__	2599	0	0	0	1	0	0	0	416	61149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Itersonilia;s__	0	0	0	0	0	0	670	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16059	0	0	0
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__;g__;s__	0	0	0	0	0	0	0	0	0	33215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__;s__	7	0	3083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__	0	0	0	1659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__	0	0	0	0	302	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
