#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus	Species
ASV1	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__
ASV2	d__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Baeospora	s__
ASV3	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__
ASV4	d__Fungi	p__	c__	o__	f__	g__	s__
ASV5	d__Fungi	p__Basidiomycota	c__Tremellomycetes	o__	f__	g__	s__
ASV6	d__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__	s__
ASV7	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Debaryomyces	s__
ASV8	d__	p__	c__	o__	f__	g__	s__
ASV9	d__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__	g__	s__
ASV10	d__Fungi	p__Ascomycota	c__	o__	f__	g__	s__
ASV11	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__
ASV12	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__	g__	s__
ASV13	d__Fungi	p__	c__	o__	f__	g__	s__
ASV14	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Cyberlindnera	s__
ASV15	d__Fungi	p__	c__	o__	f__	g__	s__
ASV16	d__Fungi	p__Ascomycota	c__	o__	f__	g__	s__
ASV17	d__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Exidiaceae	g__	s__
ASV18	d__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Itersonilia	s__
ASV19	d__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__	s__
ASV20	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__
ASV21	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Wickerhamomyces	s__
ASV22	d__	p__	c__	o__	f__	g__	s__
ASV23	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__	g__	s__
ASV24	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__
ASV25	d__	p__	c__	o__	f__	g__	s__
ASV26	d__Fungi	p__	c__	o__	f__	g__	s__
ASV27	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__
ASV28	d__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Baeospora	s__
ASV29	d__Fungi	p__	c__	o__	f__	g__	s__
ASV30	d__Fungi	p__Ascomycota	c__	o__	f__	g__	s__
ASV31	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__	g__	s__
ASV32	d__Fungi	p__Basidiomycota	c__Wallemiomycetes	o__Wallemiales	f__Wallemiaceae	g__Wallemia	s__
ASV33	d__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__	s__
ASV34	d__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__
ASV35	d__	p__	c__	o__	f__	g__	s__
ASV36	d__	p__	c__	o__	f__	g__	s__
ASV37	d__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Baeospora	s__
ASV38	d__Fungi	p__Ascomycota	c__	o__	f__	g__	s__
ASV39	d__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__	g__	s__
ASV40	d__Fungi	p__Basidiomycota	c__	o__	f__	g__	s__
ASV41	d__	p__	c__	o__	f__	g__	s__
ASV42	d__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__	s__
ASV43	d__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Strophariaceae	g__Pholiota	s__
ASV44	d__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Strophariaceae	g__Hypholoma	s__
ASV45	d__Fungi	p__Ascomycota	c__Dothideomycetes	o__	f__	g__	s__
ASV46	d__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	s__
ASV47	d__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Dioszegia	s__
ASV48	d__Fungi	p__	c__	o__	f__	g__	s__
ASV49	d__Fungi	p__	c__	o__	f__	g__	s__
ASV50	d__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Baeospora	s__
ASV51	d__	p__	c__	o__	f__	g__	s__
ASV52	d__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__	g__	s__
ASV53	d__Fungi	p__	c__	o__	f__	g__	s__
ASV54	d__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	s__
ASV55	d__Fungi	p__	c__	o__	f__	g__	s__
ASV56	d__Fungi	p__Ascomycota	c__	o__	f__	g__	s__
ASV57	d__	p__	c__	o__	f__	g__	s__
ASV58	d__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__
ASV59	d__Fungi	p__Ascomycota	c__Eurotiomycetes	o__	f__	g__	s__
