#OTU ID	F1_6	F1_12	F1_18	M2_18	M3_6	M3_12	M1_6	M1_12	M1_18	F3_6	F3_12	F3_18	M4_6	M4_12	F5_6	F5_12	F5_18	M6_6	M6_12	M4_18	F4_6	F4_12	M6_14	M2_12	M5_6	M5_12	M5_18	M3_18	F2_6	F2_12
ASV2	0	0	0	0.5375	0.01783	0	0	0.141	0.1963	0	0.1035	0	0.1308	0.274	0.2838	0.5172	0.6739	0.3465	0	0	0.4747	0	0.3882	0	0	0.7053	0.0475	0	0	0.4408
ASV1	0.3904	0	0.2296	0	0	0	0	0.1122	0.01005	0	0.877	0.348	0.4483	0.04252	0.1758	0.1957	0.1201	0.01734	0	0	0.3596	0	0	0	0	0.1017	0	0	0	0.01317
ASV4	0	0	0.005362	0.1242	0	0.01206	0	0.07311	0.02138	0.00794	0.002502	0	0.1905	0.1637	0.1386	0.03259	0.2004	0.03219	0	0	0.1629	0.05655	0	0.03808	0	0.1451	0.01107	0	0.06387	0.06685
ASV3	0.4547	0	0.3252	0	0	0	0	0.08324	0	0	0	0.4066	0	0	0	0.05581	0	0.0103	0	0.1792	0	0.755	0	0	0	0.00715	0	0.9715	0.06616	0
ASV7	0.05352	0.8627	0.04641	0	0	0	0.0218	0	0.02029	0	0	0.1172	0	0.0419	0	0.006441	0	0.4009	0	0	0	0	0	0	0	0	0	0	0	0.01288
ASV5	0.08299	0	0	0	0	0	0	0	0	0.4723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6	0	0	0	0	0	0	0	0	0.002899	0	0	0	0	0.4632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	0	0.013	0.01186	0.01159	0.1754	0	0	0	0	0	0.1169	0	0	0	0	0	0	0	0	0.001763	0	0.04539	0	0	0.1066
ASV20	0.003033	0	0.008913	0.003627	0.3658	0	0	0.3178	0.01394	0	0	0.008568	0.07179	0.0007964	0	0.007284	0	0.08798	0.4919	0	0	0	0	0	0	0	0	0	0.4831	0
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5036	0	0	0	0	0
