#OTU ID	F1_06	F1_12	F1_18	M2_18	M3_06	M3_12	M1_06	M1_12	M1_18	F3_06	F3_12	F3_18	M4_06	M4_12	F5_06	F5_12	F5_18	M6_06	M6_12	M4_18	F4_06	F4_12	M6_14	M2_12	M5_06	M5_12	M5_18	M3_18	F2_06	F2_12
ASV2	0	0	0	24009	692	0	0	2283	9549	0	10379	0	13920	35441	18136	32521	51713	15952	0	0	29611	0	4335	0	0	73687	2133	0	0	39008
ASV1	12227	0	19270	0	0	0	0	1817	489	0	87980	10519	47708	5500	11234	12302	9218	798	0	0	22433	0	0	0	0	10628	0	0	0	1165
ASV4	0	0	450	5548	0	493	0	1184	1040	1028	251	0	20269	21168	8855	2049	15377	1482	0	0	10161	1683	0	1231	0	15156	497	0	558	5915
ASV3	14239	0	27296	0	0	0	0	1348	0	0	0	12291	0	0	0	3509	0	474	0	443	0	22470	0	0	0	747	0	29592	578	0
ASV7	1676	42273	3895	0	0	0	746	0	987	0	0	3544	0	5419	0	405	0	18456	0	0	0	0	0	0	0	0	0	0	0	1140
ASV5	2599	0	0	0	0	0	0	0	0	61149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6	0	0	0	0	0	0	0	0	141	0	0	0	0	59904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	0	445	192	564	22702	0	0	0	0	0	7350	0	0	0	0	0	0	0	0	139	0	2038	0	0	9435
ASV20	95	0	748	162	14199	0	0	5147	678	0	0	259	7639	103	0	458	0	4050	4358	0	0	0	0	0	0	0	0	0	4220	0
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39703	0	0	0	0	0
ASV9	0	0	0	0	0	0	0	0	0	33215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV11	55	0	78	0	0	0	0	0	0	0	342	0	3764	0	67	0	155	0	0	0	89	0	0	0	0	78	0	0	0	25069
ASV13	0	0	0	0	0	0	0	0	27269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV27	65	0	0	0	10819	0	0	3226	848	0	0	0	1329	0	0	58	0	3162	4195	0	0	0	0	0	0	0	0	0	2574	0
ASV12	0	0	1059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23399	0	0	0	0	0
ASV15	0	0	0	0	253	18160	0	0	0	0	0	0	0	0	1635	2884	0	0	0	0	0	0	0	0	0	0	0	357	0	0
ASV14	94	0	0	0	0	0	18819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0
ASV17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17625	0	0	0
ASV18	0	0	0	0	0	0	670	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16059	0	0	0
ASV19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15426	0	0	0	0	0
ASV24	93	0	433	0	0	0	6424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2941	0	0	0
ASV21	0	0	0	0	0	0	0	0	0	8390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV22	57	220	5086	0	0	0	0	0	271	79	129	0	0	25	312	0	0	0	139	0	0	0	0	1645	0	338	0	0	19	0
ASV37	0	0	0	8149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
ASV30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	6611	0	0	0	0	0	0
