Sample	command
Calb0-1_S0_L001_R1_001	fastp -j qc/Calb0-1_S0_L001_R1_001.fastq.gz.json -h qc/Calb0-1_S0_L001_R1_001.fastq.gz.html -i reads_qiime/Calb0-1_S0_L001_R1_001.fastq.gz -I reads_qiime/Calb0-1_S0_L001_R2_001.fastq.gz -o qc/Calb0-1_S0_L001_R1_001.fastq.gz -O qc/Calb0-1_S0_L001_R2_001.fastq.gz 
E1F2_S0_L001_R1_001	fastp -j qc/E1F2_S0_L001_R1_001.fastq.gz.json -h qc/E1F2_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E1F2_S0_L001_R1_001.fastq.gz -I reads_qiime/E1F2_S0_L001_R2_001.fastq.gz -o qc/E1F2_S0_L001_R1_001.fastq.gz -O qc/E1F2_S0_L001_R2_001.fastq.gz 
E21F6_S0_L001_R1_001	fastp -j qc/E21F6_S0_L001_R1_001.fastq.gz.json -h qc/E21F6_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E21F6_S0_L001_R1_001.fastq.gz -I reads_qiime/E21F6_S0_L001_R2_001.fastq.gz -o qc/E21F6_S0_L001_R1_001.fastq.gz -O qc/E21F6_S0_L001_R2_001.fastq.gz 
E2F2_S0_L001_R1_001	fastp -j qc/E2F2_S0_L001_R1_001.fastq.gz.json -h qc/E2F2_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E2F2_S0_L001_R1_001.fastq.gz -I reads_qiime/E2F2_S0_L001_R2_001.fastq.gz -o qc/E2F2_S0_L001_R1_001.fastq.gz -O qc/E2F2_S0_L001_R2_001.fastq.gz 
E2F3_S0_L001_R1_001	fastp -j qc/E2F3_S0_L001_R1_001.fastq.gz.json -h qc/E2F3_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E2F3_S0_L001_R1_001.fastq.gz -I reads_qiime/E2F3_S0_L001_R2_001.fastq.gz -o qc/E2F3_S0_L001_R1_001.fastq.gz -O qc/E2F3_S0_L001_R2_001.fastq.gz 
E2F4_S0_L001_R1_001	fastp -j qc/E2F4_S0_L001_R1_001.fastq.gz.json -h qc/E2F4_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E2F4_S0_L001_R1_001.fastq.gz -I reads_qiime/E2F4_S0_L001_R2_001.fastq.gz -o qc/E2F4_S0_L001_R1_001.fastq.gz -O qc/E2F4_S0_L001_R2_001.fastq.gz 
E3F6_S0_L001_R1_001	fastp -j qc/E3F6_S0_L001_R1_001.fastq.gz.json -h qc/E3F6_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E3F6_S0_L001_R1_001.fastq.gz -I reads_qiime/E3F6_S0_L001_R2_001.fastq.gz -o qc/E3F6_S0_L001_R1_001.fastq.gz -O qc/E3F6_S0_L001_R2_001.fastq.gz 
E4F2_S0_L001_R1_001	fastp -j qc/E4F2_S0_L001_R1_001.fastq.gz.json -h qc/E4F2_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E4F2_S0_L001_R1_001.fastq.gz -I reads_qiime/E4F2_S0_L001_R2_001.fastq.gz -o qc/E4F2_S0_L001_R1_001.fastq.gz -O qc/E4F2_S0_L001_R2_001.fastq.gz 
E5F2_S0_L001_R1_001	fastp -j qc/E5F2_S0_L001_R1_001.fastq.gz.json -h qc/E5F2_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E5F2_S0_L001_R1_001.fastq.gz -I reads_qiime/E5F2_S0_L001_R2_001.fastq.gz -o qc/E5F2_S0_L001_R1_001.fastq.gz -O qc/E5F2_S0_L001_R2_001.fastq.gz 
E6F2_S0_L001_R1_001	fastp -j qc/E6F2_S0_L001_R1_001.fastq.gz.json -h qc/E6F2_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E6F2_S0_L001_R1_001.fastq.gz -I reads_qiime/E6F2_S0_L001_R2_001.fastq.gz -o qc/E6F2_S0_L001_R1_001.fastq.gz -O qc/E6F2_S0_L001_R2_001.fastq.gz 
E7F1_S0_L001_R1_001	fastp -j qc/E7F1_S0_L001_R1_001.fastq.gz.json -h qc/E7F1_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E7F1_S0_L001_R1_001.fastq.gz -I reads_qiime/E7F1_S0_L001_R2_001.fastq.gz -o qc/E7F1_S0_L001_R1_001.fastq.gz -O qc/E7F1_S0_L001_R2_001.fastq.gz 
E9F2_S0_L001_R1_001	fastp -j qc/E9F2_S0_L001_R1_001.fastq.gz.json -h qc/E9F2_S0_L001_R1_001.fastq.gz.html -i reads_qiime/E9F2_S0_L001_R1_001.fastq.gz -I reads_qiime/E9F2_S0_L001_R2_001.fastq.gz -o qc/E9F2_S0_L001_R1_001.fastq.gz -O qc/E9F2_S0_L001_R2_001.fastq.gz 
Extract_S0_L001_R1_001	fastp -j qc/Extract_S0_L001_R1_001.fastq.gz.json -h qc/Extract_S0_L001_R1_001.fastq.gz.html -i reads_qiime/Extract_S0_L001_R1_001.fastq.gz -I reads_qiime/Extract_S0_L001_R2_001.fastq.gz -o qc/Extract_S0_L001_R1_001.fastq.gz -O qc/Extract_S0_L001_R2_001.fastq.gz 
Mock_S0_L001_R1_001	fastp -j qc/Mock_S0_L001_R1_001.fastq.gz.json -h qc/Mock_S0_L001_R1_001.fastq.gz.html -i reads_qiime/Mock_S0_L001_R1_001.fastq.gz -I reads_qiime/Mock_S0_L001_R2_001.fastq.gz -o qc/Mock_S0_L001_R1_001.fastq.gz -O qc/Mock_S0_L001_R2_001.fastq.gz 
P119G_S0_L001_R1_001	fastp -j qc/P119G_S0_L001_R1_001.fastq.gz.json -h qc/P119G_S0_L001_R1_001.fastq.gz.html -i reads_qiime/P119G_S0_L001_R1_001.fastq.gz -I reads_qiime/P119G_S0_L001_R2_001.fastq.gz -o qc/P119G_S0_L001_R1_001.fastq.gz -O qc/P119G_S0_L001_R2_001.fastq.gz 
