#OTU ID	F1_6	F1_12	F1_18	M2_18	M3_6	M3_12	M1_6	M1_12	M1_18	F3_6	F3_12	F3_18	M4_6	M4_12	F5_6	F5_12	F5_18	M6_6	M6_12	M4_18	F4_6	F4_12	M6_14	M2_12	M5_6	M5_12	M5_18	M3_18	F2_6	F2_12
Zotu3	14239	0	27296	2	0	4	11	1348	0	29	43	12291	0	18	5	3509	37	474	16	443	0	22470	0	1	0	747	2	29592	578	19
Zotu1	12227	11	19270	27	0	4	0	1817	489	271	87980	10519	47708	5500	11234	12302	9218	798	28	132	22433	13	104	4	1	10628	3	7	204	1165
Zotu223	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Zotu5	2599	1	2	0	0	0	0	3	0	61149	15	3	4	9	0	0	0	0	3	0	0	0	0	0	3	0	0	0	92	3
Zotu12	5	0	1059	0	8	0	0	3	9	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	23399	0	0	0	18	0
Zotu7	1676	42273	3895	0	0	0	746	19	987	0	0	3544	0	5419	0	405	2	18456	2	0	17	1	0	1	0	1	0	0	69	1140
Zotu20	95	0	748	162	14199	0	0	5147	678	1	49	259	7639	103	0	458	0	4050	4358	0	0	2	0	0	2	2	0	0	4220	0
Zotu2	460	26	13	24009	692	8	1	2283	9549	629	10379	0	13920	35441	18136	32521	51713	15952	2	15	29611	6	4335	64	7	73687	2133	18	153	39008
Zotu61	3	0	0	0	0	0	0	3	0	0	0	1208	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
Zotu11	55	5	78	0	0	0	0	5	5	13	342	27	3764	47	67	51	155	7	0	0	89	0	0	0	0	78	0	0	1	25069
Zotu27	65	0	14	4	10819	0	0	3226	848	0	0	19	1329	7	0	58	0	3162	4195	0	0	0	0	0	1	2	0	0	2574	0
Zotu4	92	5	450	5548	0	493	0	1184	1040	1028	251	0	20269	21168	8855	2049	15377	1482	0	2	10161	1683	0	1231	0	15156	497	4	558	5915
Zotu14	94	0	3	0	0	1	18819	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	79	0	0	0	0	22	0	0
Zotu8	5	0	2	0	1	0	445	192	564	22702	7	0	2	7	1	7350	0	0	0	0	0	0	0	0	139	0	2038	0	9	9435
Zotu44	2	0	2104	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
Zotu24	93	0	433	0	0	1	6424	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2941	2	2	0
Zotu22	57	220	5086	0	0	0	0	9	271	79	129	2	0	25	312	0	0	2	139	1	0	0	0	1645	0	338	0	0	19	0
Zotu170	28	0	0	0	0	11	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0
Zotu101	1	0	598	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu33	7	0	3083	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0
Zotu58	2	0	1208	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Zotu252	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu46	4	0	1591	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu18	1	0	1	0	0	5	670	0	0	0	0	342	0	0	3	0	0	0	0	0	0	0	0	0	0	0	16059	14	0	0
Zotu34	5	0	5	0	2	754	0	3	1204	0	0	1150	55	398	0	0	0	51	1	0	0	0	0	0	0	0	0	17	7	0
Zotu90	4	0	0	0	0	0	352	0	0	0	0	0	0	0	0	630	0	5	0	0	0	0	0	4	0	40	96	0	1	0
Zotu9	3	1	0	0	0	0	0	0	0	33215	5	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu96	1	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	84	0
Zotu52	1	0	988	0	0	32	0	3	0	0	0	1	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Zotu67	3	0	957	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	10	0
Zotu74	1	0	976	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu71	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	781
Zotu131	1	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu70	1	0	216	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
Zotu31	2	2206	1	0	0	0	0	0	1360	0	0	0	0	0	699	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1
Zotu103	2	0	1	0	0	0	0	70	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu107	1	0	353	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu23	2	1	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5487
Zotu26	0	4300	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu29	0	0	4885	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Zotu205	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu47	0	0	1	1659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu150	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	41	85	0	0	0	0	0	0	0	0	0	0	18	0
Zotu133	0	0	2	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0
Zotu78	0	0	1	0	0	19	3	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1145	5	0	0	0	1	0	0
Zotu64	0	0	1	2537	1	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu198	0	0	1	0	0	0	0	0	0	0	0	43	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu68	0	0	666	0	0	0	0	2	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	215
Zotu82	0	0	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu43	0	0	2390	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0
Zotu81	0	0	311	0	0	113	0	0	291	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
Zotu55	0	0	1078	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu187	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu86	0	0	549	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0
Zotu48	0	0	726	0	0	0	674	1	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	576	0	0	0	0	4	0
Zotu146	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu125	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu176	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu110	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu108	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Zotu157	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu229	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
Zotu180	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu241	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu89	0	0	1	0	40	0	0	7	0	0	0	0	1213	0	0	1	0	13	1	0	0	0	0	0	0	0	0	0	7	0
Zotu6	0	0	3	0	0	40	0	0	141	18	0	0	0	59904	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	6
Zotu112	0	0	1	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu41	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2474	0	0	0	0	0	0
Zotu93	0	0	2	0	0	1	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu94	0	0	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu37	0	0	0	8149	1	0	0	0	0	0	1	0	0	13	2	0	7	2	0	0	0	0	2	0	0	15	0	2	0	0
Zotu42	0	0	0	1872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu62	0	0	0	217	0	0	89	0	12	86	0	157	295	0	0	1	44	0	0	0	0	0	286	0	0	0	0	0	0	20
Zotu28	0	0	0	8	0	0	0	9	0	3	44	0	5859	54	0	0	86	20	0	0	0	0	0	1	0	191	0	0	0	1
Zotu36	0	0	0	0	5826	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu53	0	0	0	0	4205	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	1	0	0
Zotu15	0	0	0	0	253	18160	0	0	1	15	0	0	0	1	1635	2884	0	2	0	0	0	0	0	0	0	0	2	357	0	0
Zotu84	0	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu135	0	0	0	0	238	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu54	0	0	0	0	367	1989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
Zotu172	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu98	0	0	0	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	101
Zotu10	0	0	0	0	16	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	39703	0	0	0	0	0
Zotu163	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu209	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu214	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu75	0	0	0	0	151	1175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	0	0
Zotu271	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu222	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu256	0	0	0	0	1	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13	0	0	0	0	3	0	0	0	27269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
