Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
P119G_S0_L001_R1_001	0.0	0.828947	15499895.0	0.389764	99.3690263837491	0.002662335933548095
P119L_S0_L001_R1_001	37.3684	0.878478	23401983.0	0.354025	99.7133555099441	0.5255148984358412
P119P_S0_L001_R1_001	54.4304	0.806682	39731238.0	0.410003	98.79761096515827	0.2932176206078854
P135ZA_S0_L001_R1_001	24.2236	0.907088	21900373.0	0.461971	99.59013873803717	0.18648687419308563
P135ZG_S0_L001_R1_001	18.0233	0.845867	27153487.0	0.421562	98.34229655457716	0.16695230778322795
P135ZJ_S0_L001_R1_001	10.8696	0.85334	19797209.0	0.530581	97.28237705749832	0.328793813805281
P136O_S0_L001_R1_001	32.0312	0.899006	16832669.0	0.418328	99.48131980998845	0.14892797534985236
P136U_S0_L001_R1_001	0.0	0.762073	11236583.0	0.391771	98.86622836441701	0.016771769757144773
P136Y_S0_L001_R1_001	17.7778	0.862978	24381781.0	0.474403	98.98814636660369	0.11853633396323657
P139W_S0_L001_R1_001	42.1053	0.865622	63291685.0	0.399502	99.70339965362534	0.006136558890510153
P139Y_S0_L001_R1_001	51.818200000000004	0.881055	49217824.0	0.382463	99.67554342044609	0.03457324208361406
P143P_S0_L001_R1_001	0.0	0.828446	14212134.0	0.397011	98.92881824464409	0.025915687629578438
P143V_S0_L001_R1_001	28.2158	0.857012	54620595.0	0.414005	99.65901199310221	0.09363515063554859
P143Y_S0_L001_R1_001	20.6422	0.803703	61771967.0	0.49514	96.67621235484785	0.0258048273908802
P153J_S0_L001_R1_001	18.9655	0.879579	30825794.0	0.474752	98.83380297408141	0.2803894763273163
P153O_S0_L001_R1_001	14.204500000000001	0.885234	30970794.0	0.4378	99.64296256729594	0.050603730619474
P166Q_S0_L001_R1_001	31.8182	0.898777	37555252.0	0.456577	99.69381942466534	0.022548181904490646
P166V_S0_L001_R1_001	25.8065	0.881522	25803314.0	0.399764	99.7386656775303	0.04383672505943248
P166Y_S0_L001_R1_001	0.0	0.795966	7475625.0	0.3756	99.5398529645105	0.010578092769873591
P168M_S0_L001_R1_001	25.862099999999998	0.761667	1529726.0	0.469193	97.36188109348117	0.6117377174536418
P168R_S0_L001_R1_001	30.208299999999998	0.874769	30626416.0	0.435439	99.46507718172091	0.1375515818431912
P168U_S0_L001_R1_001	55.721399999999996	0.872407	14330295.0	0.420378	99.58054948018096	0.05392935254816191
P176H_S0_L001_R1_001	20.9302	0.834868	5392831.0	0.503039	97.45606575963718	0.233843537414966
P176L_S0_L001_R1_001	23.0216	0.808246	17245575.0	0.514512	96.16235835694052	0.13500354107648724
P209V_S0_L001_R1_001	55.5241	0.891149	38468510.0	0.39135	99.55524236403124	0.0057760731943995195
P209Y_S0_L001_R1_001	25.3456	0.892455	51641958.0	0.456004	99.5853329784768	0.009443762394938144
P209Z_S0_L001_R1_001	23.2258	0.897972	21852800.0	0.451624	98.55778914716191	0.01611408774120775
P99F_S0_L001_R1_001	54.2714	0.889245	14828300.0	0.421351	99.31321540062436	0.02081165452653486
P99L_S0_L001_R1_001	4.54545	0.761886	7528588.0	0.387691	99.15410424838146	0.21265535655214785
P99O_S0_L001_R1_001	31.1404	0.871943	42699580.0	0.426316	99.64017600304697	0.30670234837778515
