Pass 1, 47 OTUs with strong cross-talk, med. rate 0.000600
  Min  0.000025
  LoQ  0.000257
  Med  0.000600
  Avg  0.001291
  HiQ  0.001356
  Max  0.006298

       Otu      Freq     Size  SumSmall  N_big  N_small
     ASV2  0.000066   364771        24     17        5
     ASV1  0.000075   254097        19     14        5
     ASV4  0.000096   114498        11     16        3
     ASV3  0.000124   113174        14      9        5
     ASV7  0.000089    78653         7      9        5
     ASV5  0.000344    63886        22      2        8
     ASV6  0.000183    60114        11      1        4
     ASV8  0.000583    42899        25      5        7
    ASV20  0.000166    42172         7      8        4
    ASV10  0.000025    39731         1      1        1
     ASV9  0.000451    33230        15      1        5
    ASV11  0.000770    29858        23      2        5
    ASV13  0.000257    27276         7      1        2
    ASV27  0.000532    26323        14      7        4
    ASV12  0.000898    24507        22      2        6
    ASV15  0.000257    23310         6      3        4
    ASV14  0.000263    19019         5      1        3
    ASV17  0.000624    17636        11      1        3
    ASV18  0.000585    17095        10      2        4
    ASV19  0.000698    15754        11      1        3
    ASV16  0.000583    15435         9      1        2
    ASV24  0.000606     9897         6      2        4
    ASV21  0.001309     8401        11      1        5
    ASV22  0.000600     8334         5      2        3
    ASV37  0.002075     8194        17      1        7
    ASV30  0.001356     6636         9      1        2
    ASV28  0.002071     6276        13      1        4
    ASV36  0.000172     5827         1      1        1
    ASV23  0.001819     5497        10      1        4
    ASV25  0.000386     5184         2      1        2
    ASV29  0.001227     4891         6      1        3
    ASV53  0.000218     4579         1      1        1
    ASV26  0.000228     4390         1      1        1
    ASV31  0.001872     4273         8      3        4
    ASV32  0.001191     4199         5      1        2
    ASV34  0.006298     3652        23      3        6
    ASV33  0.005484     3100        17      1        4
    ASV51  0.000651     3072         2      1        1
    ASV38  0.000350     2860         1      1        1
    ASV60  0.000702     2847         2      1        1
    ASV39  0.000367     2728         1      1        1
    ASV64  0.004317     2548        11      1        5
    ASV41  0.001211     2477         3      1        2
    ASV43  0.004167     2400        10      1        4
    ASV50  0.003510     2279         8      1        4
    ASV56  0.006100     2131        13      1        2
    ASV44  0.004730     2114        10      1        5
